nazev,obor,mesto,adresa,telefon,web,web_status,priority,rating,stav,zdroj
Zednictví Rostislav Malík,zedník,Olomouc,"Šantova 720/4, 779 00 Olomouc 9, Česko",+420774346863,,bez_webu,1,,novy,serper_maps
Zednictví Horák Tomáš,zedník,Olomouc,"Blanická 388, 779 00 Olomouc 9, Česko",+420585230948,,bez_webu,1,,novy,serper_maps
Zednictví Pavel Müller,zedník,Olomouc,"Rokycanova 399/6, 779 00 Olomouc 9-Nové Sady, Česko",+420608449527,,bez_webu,1,,novy,serper_maps
"Mikš - Stavební práce, rekonstrukce Olomouc",zedník,Olomouc,"44312 221, 783 16 Dolany u Olomouce, Česko",+420608701054,,bez_webu,1,5,novy,serper_maps
Zedník Petr MUDr.,zedník,Olomouc,"Kateřinská 85, 779 00 Olomouc 9, Česko",+420585228437,,bez_webu,1,4,novy,serper_maps
Kontaktujte nás - Zedník Olomouc,zedník,Olomouc,Olomouc,604511190,,bez_webu,1,,novy,serper_organic:https://www.zednikolomouc.cz/kontakt/
Kontakt - Zedník Olomouc,zedník,Olomouc,Olomouc,607877574,,bez_webu,1,,novy,serper_organic:https://www.zednik-olomouc.cz/kontakt
"Zedníci, zednické práce Olomouc",zedník,Olomouc,Olomouc,+420388903101,,bez_webu,1,,novy,serper_organic:https://www.ceskestavby.cz/firmy/zednici-zednicke-prace/olom
MUDr. Petr Zedník - Stomatologie pro dospělé - Olomouc ...,zedník,Olomouc,Olomouc,+420585228437,,bez_webu,1,,novy,serper_organic:https://mudr-petr-zednik.katalog-stomatologu.cz/
"Stavební a zednické práce Olomouc, Robert Šlotíř",zedník,Olomouc,Olomouc,+420603540400,,bez_webu,1,,novy,serper_organic:https://stavebniprace-rs.cz/
Středisko Olomouc,zedník,Olomouc,Olomouc,739055633,,bez_webu,1,,novy,serper_organic:https://www.mpl.cz/Kontakty/Stredisko-Olomouc.aspx
Pk Komplet,pokrývač,České Budějovice,"Nádražní 1702, 370 01 České Budějovice 1, Česko",+420387427609,,bez_webu,1,,novy,serper_maps
Střechy Kotlaba S.r.o.,pokrývač,České Budějovice,"U Tří lvů 256, 370 01 České Budějovice 6, Česko",+420385348681,,bez_webu,1,1,novy,serper_maps
"Vladimír Jírů, S.r.o. - Tepelné Izolace",pokrývač,České Budějovice,"Ledenická 654, 370 06 České Budějovice 6, Česko",+420387330371,,bez_webu,1,,novy,serper_maps
"Pokrývači, pokrývačství okres České Budějovice",pokrývač,České Budějovice,České Budějovice,+420388903101,,bez_webu,1,,novy,serper_organic:https://www.ceskestavby.cz/firmy/pokryvaci/okres-ceske-budej
"Střechy České Budějovice - pokrývačské, klempířské, tesařské ...",pokrývač,České Budějovice,České Budějovice,+420737275553,,bez_webu,1,,novy,serper_organic:https://www.strechy-kartak.cz/
KRÁTKÝ JIŘÍ-KLEMPÍŘSTVÍ A POKRÝVAČSTVÍ,pokrývač,České Budějovice,České Budějovice,732826338,,bez_webu,1,,novy,serper_organic:https://www.zivefirmy.cz/kratky-jiri-klempirstvi-a-pokryvacs
"Klempířské práce, Rekonstrukce střechy, Pokrývačské práce",pokrývač,České Budějovice,České Budějovice,+420603288181,,bez_webu,1,,novy,serper_organic:https://www.cbstrechy.cz/
"Jiří Krátký - klempířství, pokrývačství, střechy České Budějovice",pokrývač,České Budějovice,České Budějovice,+420732826338,,bez_webu,1,,novy,serper_organic:https://www.jihoceskyinfo.cz/Detail/36717/jiri-kratky-klempi
INSTALATÉR-Machát Pavel,instalatér,Brno,"Kounicova 15/73, 602 00 Brno-Žabovřesky, Česko",+420608622069,,bez_webu,1,4.9,novy,serper_maps
Instalatér Brno - Aleš Urban - Topenář Brno | Voda Plyn Topení,instalatér,Brno,Brno,+420732206707,,bez_webu,1,,novy,serper_organic:https://www.instalater-brno-topenar.cz/
Instalatér Brno - Jaroslav Palásek,instalatér,Brno,Brno,731306744,,bez_webu,1,,novy,serper_organic:https://instalaterbrno.com/
Instalatér Brno – Instalatérské služby v Brně,instalatér,Brno,Brno,776291933,,bez_webu,1,,novy,serper_organic:https://instalaterbrno.eu/
Instalatér Brno - Instalatér Brno tel. 774 568 769,instalatér,Brno,Brno,737827304,,bez_webu,1,,novy,serper_organic:http://www.brnoinstalater.cz/
Instalatér a topenář Brno | VV INSTAL — Rychlý servis a ...,instalatér,Brno,Brno,+420776144811,,bez_webu,1,,novy,serper_organic:https://vvinstal.cz/
Instalatérství Vaculík,instalatér,Brno,Brno,+420608975908,,bez_webu,1,,novy,serper_organic:https://www.pavelvaculik-instalaterstvi.cz/
"Instalatér Burian Brno - instalatér, hodinový manžel ...",instalatér,Brno,Brno,+420736485007,,bez_webu,1,,novy,serper_organic:https://www.instalaterstvi-burian-brno.cz/
NEJLEPŠÍ Instalatér v Brně - pokud hledáte spolehlivého ...,instalatér,Brno,Brno,+420721177097,,bez_webu,1,,novy,serper_organic:https://www.esvtdesign.cz/
Instalatér Brno | Topenář Brno | Plynař Brno,instalatér,Brno,Brno,+420732643255,,bez_webu,1,,novy,serper_organic:https://www.instalaterbrnomesto.cz/
"Elektrikář v srdci Prahy - Ing. Michal Jaroš (opravy, montáže, revize)",elektrikář,Praha,"Petrské nám. 1097/7, 110 00 Petrská čtvrť, Česko",+420775342424,,bez_webu,1,4.6,novy,serper_maps
Elektrikář-Instalatér,elektrikář,Praha,"Křejpského 1507/31, Staropramenná 27, 149 00 Praha 4, Česko",+420732665275,,bez_webu,1,4.7,novy,serper_maps
"Elektroinstalační firmy | PREdistribuce, a. s.",elektrikář,Praha,Praha,739592909,,bez_webu,1,,novy,serper_organic:https://www.predistribuce.cz/cs/kontakt/elektroinstalacni-fi
Elektrikář Praha – nonstop pohotovost 24/7 | Rychlý příjezd,elektrikář,Praha,Praha,+420720535140,,bez_webu,1,,novy,serper_organic:https://prahanonstop.cz/
"ELEKTRIKÁŘ PRAHA , Praha, Černý Most - Živéfirmy.cz",elektrikář,Praha,Praha,777889581,,bez_webu,1,,novy,serper_organic:https://www.zivefirmy.cz/elektrikar-praha_f1770801
Elektrikář Praha 3: martinrihout.cz,elektrikář,Praha,Praha,+420603263130,,bez_webu,1,,novy,serper_organic:https://www.martinrihout.cz/
"Pohotovost Elektro – Nonstop elektrikáři, Praha a okolí",elektrikář,Praha,Praha,+420775237369,,bez_webu,1,,novy,serper_organic:https://www.pohotovost-elektro.cz/
Michal Mareš,malíř natěrač,Plzeň,"Plachého 959, 301 00 Plzeň 3-Jižní Předměstí, Česko",+420721060535,,bez_webu,1,,novy,serper_maps
Malíř a lakýrník,malíř natěrač,Plzeň,"Plovární 478/1, 301 00 Plzeň 3-Jižní Předměstí, Česko",+420602142929,,bez_webu,1,,novy,serper_maps
Malířské A Lakýrnické Práce - Jiří Bajer,malíř natěrač,Plzeň,"Brojova 2053, 326 00 Plzeň 2-Slovany, Česko",+420774282455,,bez_webu,1,,novy,serper_maps
"Malířství Plzeň | Malířské a natěračské práce bytů, domů i firem",malíř natěrač,Plzeň,Plzeň,+420775209774,,bez_webu,1,,novy,serper_organic:https://www.malirstvimichal.cz/malirstvi-plzen/
"Malíři, malovaní pokojů Plzeň - lakýrníci, malíři, natěrači ...",malíř natěrač,Plzeň,Plzeň,603983218,,bez_webu,1,,novy,serper_organic:https://www.naterymalby.cz/
Martin Vrba | Malíř pokojů Plzeň,malíř natěrač,Plzeň,Plzeň,+420736226197,,bez_webu,1,,novy,serper_organic:https://malirstvi-vrba.cz/
Kontakt – Malíř pokojů Plzeň | Domluvte si malování pokojů,malíř natěrač,Plzeň,Plzeň,792302621,,bez_webu,1,,novy,serper_organic:https://maliri-pokoju-plzen.cz/kontakt/
"Malíři a natěrači Plzeň, Plzeňský kraj",malíř natěrač,Plzeň,Plzeň,+420377981369,,bez_webu,1,,novy,serper_organic:https://www.regionplzen.cz/katalog/sluzby/remesla/maliri-a-n
Jiří Zábrš,klempíř,Brno,"Prašná 113, 621 00 Brno-Řečkovice a Mokrá Hora, Česko",+420608941808,,bez_webu,1,5,novy,serper_maps
"Brastr, S.r.o. - Střechy Na Klíč",klempíř,Brno,"Lazaretní 1, 615 00 Brno-Židenice-Zábrdovice, Česko",+420541224680,,bez_webu,1,5,novy,serper_maps
Klempířství pokrývačství Sival Brno,klempíř,Brno,"Metodějova 5, 612 00 Brno-Královo Pole, Česko",+420602536344,,bez_webu,1,,novy,serper_maps
"Klempířství, pokrývačství Brno - opravy, rekonstrukce střech ...",klempíř,Brno,Brno,603506205,,bez_webu,1,,novy,serper_organic:https://www.klempirstvimt.cz/
"Klempířství Brno, pokrývačství, výškové práce Brno | Střechy ...",klempíř,Brno,Brno,+420739450846,,bez_webu,1,,novy,serper_organic:https://www.strechy-kt.cz/
ŘÍHA ALEŠ-KLEMPÍŘI BRNO,klempíř,Brno,Brno,737989136,,bez_webu,1,,novy,serper_organic:https://www.zivefirmy.cz/riha-ales-klempiri-brno_f1025121
Klempířství Brno | DMG obchodní a stavební,klempíř,Brno,Brno,+420606732442,,bez_webu,1,,novy,serper_organic:https://www.dmg-drdla.cz/klempirstvi-brno
ČECH KLEMPÍŘSTVÍ-POKRÝVAČSTVÍ: Klempíř Brno ...,klempíř,Brno,Brno,+420602791492,,bez_webu,1,,novy,serper_organic:https://www.klempirstvicech.cz/
"KILINGER - klempířství, pokrývačství, hydroizolace Brno 2026",klempíř,Brno,Brno,+420775151232,,bez_webu,1,,novy,serper_organic:https://strechasnu.cz/
Kontaktní údaje | Klempířství Dambor Brno,klempíř,Brno,Brno,+420603221814,,bez_webu,1,,novy,serper_organic:https://www.klempirstvi-dambor.cz/kontakt/
tesařská dílna,tesař,Praha,"Braunerova 563/7, 180 00 Praha 8-Libeň, Česko",+37253800335,,bez_webu,1,,novy,serper_maps
Tesařství Miroslav Baxa,tesař,Praha,"Nad Přehradou, 109 00 Praha 10, Česko",+420723876805,,bez_webu,1,5,novy,serper_maps
Truhlářství - tesařství Tlášek,tesař,Praha,"Kamenická 656/56, 170 00 Praha 7-Holešovice, Česko",+420737543649,,bez_webu,1,1,novy,serper_maps
Truhlářství - Petera,tesař,Praha,"Ke Hřbitovu 11/2, 152 00 Praha 5-Hlubočepy, Česko",+420251810856,,bez_webu,1,5,novy,serper_maps
"Tesařské práce, Tesařství, střechy na klíč Praha Kontakt na ...",tesař,Praha,Praha,774637945,,bez_webu,1,,novy,serper_organic:http://www.krov.cz/kontakt.html
Pavel Tesař - Praha,tesař,Praha,Praha,+420222320956,,bez_webu,1,,novy,serper_organic:https://www.ceskestavby.cz/firmy/pavel-tesar.html
Tesařství Praha-západ - Jan Kalhous,tesař,Praha,Praha,+420602419018,,bez_webu,1,,novy,serper_organic:https://tesarstviprahazapad.cz/
Tesařství Paždík a Krakorec | Dřevostavby a rekonstrukce,tesař,Praha,Praha,+420735051957,,bez_webu,1,,novy,serper_organic:https://www.tesarstvi-pk.cz/
"Jan Tesař , Praha, Čakovice",tesař,Praha,Praha,777885110,,bez_webu,1,,novy,serper_organic:https://www.zivefirmy.cz/tesar-jan_f1583241
Tesař Praha: Homepage One,tesař,Praha,Praha,+420776406055,,bez_webu,1,,novy,serper_organic:https://tesarpraha.cz/
Obkladač BRNO (@brnoobkladac),obkladač,Brno,Brno,+420773530862,,bez_webu,1,,novy,serper_organic:https://www.facebook.com/brnoobkladac/?locale=cs_CZ
Obkladačské práce Brno - Jan Adler,obkladač,Brno,Brno,+420776025298,,bez_webu,1,,novy,serper_organic:https://obkladacbrno.cz/
Obkladač Brno,obkladač,Brno,Brno,+420774233776,,bez_webu,1,,novy,serper_organic:https://sedlacek-koupelny.cz/obkladac-brno/
obklady-brno.cz,obkladač,Brno,Brno,777008209,,bez_webu,1,,novy,serper_organic:https://obklady-brno.cz/
obklady & dlažby brno,obkladač,Brno,Brno,+420774728661,,bez_webu,1,,novy,serper_organic:https://www.brno-obkladaci.cz/
Zahradnictví Hrnčíře,zahradník,Praha,"K Hrnčířům 280, 149 00 Praha-Šeberov, Česko",+420732152153,,bez_webu,1,4.7,novy,serper_maps
Oldřich Zahradník,zahradník,Praha,"S. K. Neumanna 1901, 182 00 Praha 8-Libeň, Česko",+420284680337,,bez_webu,1,5,novy,serper_maps
Zahradník - Praha,zahradník,Praha,Praha,0775091409,,bez_webu,1,,novy,serper_organic:https://zahradnik-praha.cz/
Kontakt - Zahradník Praha - Webnode,zahradník,Praha,Praha,+420775091409,,bez_webu,1,,novy,serper_organic:https://zahradnik-praha.webnode.cz/kontakt/
"Návrhy, realizace a údržby zahrad v Praze a okolí ...",zahradník,Praha,Praha,+420797807507,,bez_webu,1,,novy,serper_organic:https://www.zahradygreen.cz/
"Křeček a Plundra | Návrh zahrad, kompletní zahradnické ...",zahradník,Praha,Praha,777919092,,bez_webu,1,,novy,serper_organic:https://krecek-plundra.cz/
Šticha a syn: Projektování zahrad a údržba zeleně.,zahradník,Praha,Praha,777844726,,bez_webu,1,,novy,serper_organic:https://www.stichaasyn.cz/
Údržba zahrad Praha a celé Střední Čechy | zahradník,zahradník,Praha,Praha,+420777625474,,bez_webu,1,,novy,serper_organic:https://www.zahradnici-praha.cz/zahrady/udrzba-zahrad/
Kontakty – Údržby zahrad Praha,zahradník,Praha,Praha,+420724353656,,bez_webu,1,,novy,serper_organic:https://udrzbyzahrad.cz/kontakty/
20 nejlepších firem: Instalatérství Praha,instalatér,Praha,Praha,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/nejlepsi/Remesla-a-sluzby/Remesla/Insta
Instalatérství Praha,instalatér,Praha,Praha,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/Remesla-a-sluzby/Remesla/Instalaterstvi
Instalatérství Praha 10 nonstop pohotovost,instalatér,Praha,Praha,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/Remesla-a-sluzby/Remesla/Instalaterstvi
Instalatérství Praha provozovna,instalatér,Praha,Praha,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/Remesla-a-sluzby/Remesla/Instalaterstvi
Instalatér Praha,instalatér,Praha,Praha,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/stitek/instalater/kraj-praha
Instalatérství Praha 7,instalatér,Praha,Praha,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/Remesla-a-sluzby/Remesla/Instalaterstvi
"Instalatérství, Topenářství Michal Bahula (Praha, Hostivař)",instalatér,Praha,Praha,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/detail/12781752-instalaterstvi-topenars
"Jakub Šilhan - instalatér (Praha, Letňany)",instalatér,Praha,Praha,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/detail/13367470-jakub-silhan-instalater
"Super instalatér (Praha, Záběhlice)",instalatér,Praha,Praha,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/detail/13473593-super-instalater-praha-
"Instalatéři Praha: Rychlí, kvalitní, za dobrou cenu. Instalater24",instalatér,Praha,Praha,,,bez_webu,1,,novy,serper_organic:https://instalater24.cz/
Rodinný instalatér Praha | Jiří Forchtner,instalatér,Praha,Praha,,,bez_webu,1,,novy,serper_organic:https://www.rodinny-instalater.cz/
Rychlá Pohotovost: Instalatér Praha,instalatér,Praha,Praha,,,bez_webu,1,,novy,serper_organic:https://rychlapohotovost.cz/
elektrikář Brno - TC Elektro,elektrikář,Brno,Brno,,,bez_webu,1,5,novy,serper_maps
Elektromontážní a elektroinstalační práce Brno-město,elektrikář,Brno,Brno,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/Remesla-a-sluzby/Remesla/Elektrikarstvi
10 nejlepších firem: Elektromontážní a elektroinstalační práce v Brně,elektrikář,Brno,Brno,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/nejlepsi/Remesla-a-sluzby/Remesla/Elekt
Elektrikář Brno - Elektromontážní a elektroinstalační práce,elektrikář,Brno,Brno,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/Remesla-a-sluzby/Remesla/Elektrikarstvi
"Elektrikář Jiří Bárta (Brno, Bohunice)",elektrikář,Brno,Brno,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/detail/13181527-elektrikar-jiri-barta-b
Elektrikáři Brno-město,elektrikář,Brno,Brno,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/stitek/elektrikari/kraj-jihomoravsky/br
"Elektrikář Šikula (Brno, Královo Pole)",elektrikář,Brno,Brno,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/detail/13683944-elektrikar-sikula-brno-
Elektrikář Brno-venkov - Elektromontážní a elektroinstalační práce,elektrikář,Brno,Brno,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/Remesla-a-sluzby/Remesla/Elektrikarstvi
"Hodinový manžel, elektrikář - Mgr. Jan Říha (Brno, Žabovřesky)",elektrikář,Brno,Brno,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/detail/13715802-hodinovy-manzel-elektri
"Elektroinstalace - Antonín Fráňa (Brno, Řečkovice)",elektrikář,Brno,Brno,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/detail/2169349-elektroinstalace-antonin
"Josef Červenka - kompletní elektroinstalace (Brno, Žabovřesky)",elektrikář,Brno,Brno,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/detail/13472042-josef-cervenka-kompletn
Elektrikář Brno • 21 firem a ověřené recenze,elektrikář,Brno,Brno,,,bez_webu,1,,novy,serper_organic:https://www.nejremeslnici.cz/t/75-elektrikar/brno
Lakýrníci a natěrači Ostrava-město,malíř natěrač,Ostrava,Ostrava,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/Remesla-a-sluzby/Remesla/Malirstvi-a-ta
12 nejlepších firem: Malíři pokojů - malířské práce Ostrava,malíř natěrač,Ostrava,Ostrava,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/nejlepsi/Remesla-a-sluzby/Remesla/Malir
"MALÍŘI NATĚRAČI CZ (Ostrava, Vítkovice)",malíř natěrač,Ostrava,Ostrava,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/detail/12850841-maliri-nateraci-cz-ostr
Natěračské práce Ostrava • Firmy.cz,malíř natěrač,Ostrava,Ostrava,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/stitek/nateracske-prace/kraj-moravskosl
"Nátěry střech, Lakýrníci a natěrači Ostrava-město",malíř natěrač,Ostrava,Ostrava,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/stitek/natery-strech/Remesla-a-sluzby/R
"MALÍŘSTVÍ TOBOLA, s.r.o. (Ostrava, Svinov)",malíř natěrač,Ostrava,Ostrava,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/detail/13700102-malirstvi-tobola-ostrav
Natěračské práce Moravskoslezský kraj,malíř natěrač,Ostrava,Ostrava,,,bez_webu,1,,novy,serper_organic:https://www.firmy.cz/stitek/nateracske-prace/kraj-moravskosl
